date,StraitTimes
6/9/2006,2189.97
6/12/2006,2189.16
6/13/2006,2149.54
6/14/2006,2140.66
6/15/2006,2161.54
6/16/2006,2227.31
6/19/2006,2220.62
6/20/2006,2185.06
6/21/2006,2189.86
6/22/2006,2218.24
6/23/2006,2201.74
6/26/2006,2225.59
6/27/2006,2216.22
6/28/2006,2210.53
6/29/2006,2244.62
6/30/2006,2288.75
7/3/2006,2289.8
7/4/2006,2301.04
7/5/2006,2277.66
7/6/2006,2297.31
7/7/2006,2296.15
7/10/2006,2289.29
7/11/2006,2267.66
7/12/2006,2271.94
7/13/2006,2246.83
7/14/2006,2214.02
7/17/2006,2173.25
7/18/2006,2189.51
7/19/2006,2194.68
7/20/2006,2237.57
7/21/2006,2230.94
7/24/2006,2235.69
7/25/2006,2263.42
7/26/2006,2261.54
7/27/2006,2295.29
7/28/2006,2280.01
7/31/2006,2292.41
8/1/2006,2293.49
8/2/2006,2303.93
8/3/2006,2307.06
8/4/2006,2316.11
8/7/2006,2314.96
8/8/2006,2327.34
8/10/2006,2314.04
8/11/2006,2317.11
8/14/2006,2316.87
8/15/2006,2306.21
8/16/2006,2317.18
8/17/2006,2336.78
8/18/2006,2347.88
8/21/2006,2334.1
8/22/2006,2346.56
8/23/2006,2337.9
8/24/2006,2317.57
8/25/2006,2328.9
8/28/2006,2308.6
8/29/2006,2334.59
8/30/2006,2349.93
8/31/2006,2364.05
9/1/2006,2371.47
9/4/2006,2395.94
9/5/2006,2395.96
9/6/2006,2403.83
9/7/2006,2382.74
9/8/2006,2386.02
9/11/2006,2362.63
9/12/2006,2360.13
9/13/2006,2382.37
9/14/2006,2389.97
9/15/2006,2394.36
9/18/2006,2420.32
9/19/2006,2400.88
9/20/2006,2394.21
9/21/2006,2400.71
9/22/2006,2382.76
9/25/2006,2385.54
9/26/2006,2391.44
9/27/2006,2424.42
9/28/2006,2433.26
9/29/2006,2432.75
10/2/2006,2466.97
10/3/2006,2459.13
10/4/2006,2470.12
10/5/2006,2501.32
10/6/2006,2509.37
10/9/2006,2485.71
10/10/2006,2506.41
10/11/2006,2497.79
10/12/2006,2496.82
10/13/2006,2518.29
10/16/2006,2520.24
10/17/2006,2489.94
10/18/2006,2491.1
10/19/2006,2515.89
10/20/2006,2538.83
10/23/2006,2545.04
10/25/2006,2566.15
10/26/2006,2592.66
10/27/2006,2584.02
10/30/2006,2545.24
10/31/2006,2553.68
11/1/2006,2590.14
11/2/2006,2581.81
11/3/2006,2569.97
11/6/2006,2572.88
11/7/2006,2592.53
11/8/2006,2586.17
11/9/2006,2596.43
11/10/2006,2592.14
11/13/2006,2594.35
11/14/2006,2603.9
11/15/2006,2620.65
11/16/2006,2637.27
11/17/2006,2651.6
11/20/2006,2609.31
11/21/2006,2633.82
11/22/2006,2661.57
11/23/2006,2672.11
11/24/2006,2656.13
11/27/2006,2677.99
11/28/2006,2628.34
11/29/2006,2664.62
11/30/2006,2677.19
12/1/2006,2673.98
12/4/2006,2687.46
12/5/2006,2735.77
12/6/2006,2728.06
12/7/2006,2732.53
12/8/2006,2703.89
12/11/2006,2724.89
12/12/2006,2732.11
12/13/2006,2722.54
12/14/2006,2751.04
12/15/2006,2771.32
12/18/2006,2807.85
12/19/2006,2746.39
12/20/2006,2770.14
12/21/2006,2773.11
12/22/2006,2788.85
12/26/2006,2785.55
12/27/2006,2806.43
12/28/2006,2810.81
12/29/2006,2828.72
1/3/2007,2882.55
1/4/2007,2873.67
1/5/2007,2872.84
1/8/2007,2844.29
1/9/2007,2848.58
1/10/2007,2802.57
1/11/2007,2813.49
1/12/2007,2849.32
1/15/2007,2871.81
1/16/2007,2873.74
1/17/2007,2874.49
1/18/2007,2898.28
1/19/2007,2913.97
1/22/2007,2979.46
1/23/2007,2965.8
1/24/2007,2980.09
1/25/2007,2933.81
1/26/2007,2921.29
1/29/2007,2959.73
1/30/2007,2957.86
1/31/2007,2952.23
2/1/2007,2996.04
2/2/2007,3055.14
2/5/2007,3059.65
2/6/2007,3058.12
2/7/2007,3070.53
2/8/2007,3045.94
2/9/2007,3049.32
2/12/2007,3007.15
2/13/2007,2984.79
2/14/2007,3023.66
2/15/2007,3090.09
2/16/2007,3074.71
2/21/2007,3127.06
2/22/2007,3118.98
2/23/2007,3138.01
2/26/2007,3131.82
2/27/2007,3060.09
2/28/2007,2942.72
3/1/2007,2929.03
3/2/2007,2916.79
3/5/2007,2827.33
3/6/2007,2876.88
3/7/2007,2896.07
3/8/2007,2949.79
3/9/2007,2978.34
3/12/2007,3022.21
3/13/2007,2992.43
3/14/2007,2897.96
3/15/2007,2940.44
3/16/2007,2906.18
3/19/2007,2952.16
3/20/2007,2956.11
3/21/2007,2999.29
3/22/2007,3062.34
3/23/2007,3050.11
3/26/2007,3047.73
3/27/2007,3074.71
3/28/2007,3044.34
3/29/2007,3069.23
3/30/2007,3068.21
4/2/2007,3077.05
4/3/2007,3112.48
4/4/2007,3161.48
4/5/2007,3166.57
4/9/2007,3220.95
4/10/2007,3241.52
4/11/2007,3241.32
4/12/2007,3190.17
